Opportunity,Confidence,Title,ISBN-13,ISBN-10,Supplier Cost,Revenue Estimate,Revenue Source,eBay Fee,Profit,Margin %,eBay Sold Count,eBay Sold Median,Price Spread %,eBay Active Count,eBay Active Median,Amazon Price,Amazon Rank,Concern Flags,Skip Reason,Data Source
NO,LOW,Encyclopedia of Counseling,9781138942653,1138942650,$29.99,$31.50,ebay_active,$4.17,$-2.66,-8.4%,0,,160.0,3,$35.00,$56.00,#3591,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS | WIDE_SPREAD,profit_$-2.66_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,Cognitive Behavior Therapy,9781462544196,1462544193,$41.99,$45.25,ebay_active,$6.00,$-2.74,-6.1%,0,,12.8,3,$50.28,$68.00,#24978,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-2.74_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,The Comprehensive Clinician's Guide to Cognitive Behavioral Therapy,9781683732556,1683732553,$19.99,$19.80,ebay_active,$2.62,$-2.81,-14.2%,0,,,1,$22.00,$33.01,#24056,NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-2.81_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,"Fire Officer’s Handbook of Tactics, 5th Edition by John Norman (ISBN 9781593704186) - Hardcover",9781593704186,1593704186,$62.99,$68.50,amazon_estimate,$9.08,$-3.57,-5.2%,0,,,0,,$80.59,"#71,241",FALLBACK_PRICING | NO_EBAY_DATA,profit_$-3.57_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,"Fire and Emergency Services Instructor, 9th Edition",9780879396961,0879396962,$57.99,$52.88,ebay_active,$7.01,$-12.12,-22.9%,0,,4.3,2,$58.75,$97.00,"#46,002",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-12.12_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,Milady Standard Cosmetology *US HARDCOVER* 13th Edition - {9781285769417 } {1285769414},9781285769417,1285769414,$107.99,$107.10,ebay_active,$14.19,$-15.08,-14.1%,0,,,1,$119.00,$155.00,"#56,919",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-15.08_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,"FYI: For Your Improvement – For Learners, Managers, Mentors, and Feedback Givers, 5th Edition (ISBN 9781933578170) - Paperback",9781933578170,1933578173,$40.99,$27.86,ebay_active,$3.69,$-16.82,-60.4%,0,,232.0,4,$30.96,$33.00,"#838,973",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS | WIDE_SPREAD,profit_$-16.82_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,MEDIUM,How to Write and Publish a Scientific Paper,9781440878848,1440878846,$29.99,$5.91,ebay_active,$0.78,$-24.86,-420.6%,0,,83.6,20,$6.57,$44.62,#457120,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,profit_$-24.86_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,FALLBACK,Intuitive Biostatistics *US PAPERBACK* 4th Ed. A Nonmathematical Guide to Statistical Thinking By Harvey Motulsky - (9780190643560),9780190643560,0190643560,$73.99,$55.96,amazon_estimate,$7.41,$-25.44,-45.5%,0,,,0,,$65.84,"#209,666",FALLBACK_PRICING | NO_EBAY_DATA,profit_$-25.44_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,"FYI: For Your Improvement – Competencies Development Guide, 6th Edition by Michael M. Lombardo (ISBN 9781933578903) - Paperback",9781933578903,1933578904,$45.99,$22.49,ebay_active,$2.98,$-26.48,-117.7%,0,,36.0,5,$24.99,$62.83,"#20,138",NO_SOLD_COMPS | ACTIVE_ONLY,profit_$-26.48_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,MEDIUM,Lange Q & A Radiography Examination,9781260460445,1260460444,$41.99,$7.55,ebay_active,$1.00,$-35.44,-469.4%,0,,162.8,20,$8.39,$72.00,#108377,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,profit_$-35.44_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,"Ethnicity and Family Therapy, 3rd Edition by Monica McGoldrick, Joe Giordano & Nydia Garcia-Preto – Hardcover (ISBN: 9781593850204)",9781593850203,1593850204,$54.99,$21.60,ebay_active,$2.86,$-36.25,-167.8%,0,,,1,$24.00,$95.20,"#147,281",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-36.25_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,MEDIUM,ACSM's Exercise Management for Persons With Chronic Diseases,9781450434140,1450434142,$43.99,$6.54,ebay_active,$0.87,$-38.32,-585.9%,0,,101.5,20,$7.27,$73.22,#291883,NO_SOLD_COMPS | ACTIVE_ONLY | WIDE_SPREAD,profit_$-38.32_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
NO,LOW,"Medical Terminology: A Living Language, 7th Edition by Bonnie Fremgen (ISBN 9780134701202) - Paperback",9780134701202,0134701208,$67.99,$19.75,ebay_active,$2.62,$-50.86,-257.5%,0,,,1,$21.95,$107.10,"#793,516",NO_SOLD_COMPS | ACTIVE_ONLY | FEW_COMPS,profit_$-50.86_below_$10.00,url:https://docs.google.com/spreadsheets/d/1uXD9-87xzSsU4wV0qw34r3OxmoZ5Gz4hw4vhrFykPfU/export?format=csv
